Y4,P1,P2,P3,P4,S1,S2,S3,S4,S5,S6,S7,Z1,Z2,Z3
0.0,8396.2,4.973666666666,7.850833333340001,0.0,251.4,5314.1509175725005,1.2927777777796,5.75,12.981969101994954,8.770523371726666,56.93818612426667,9.15,39.6,112.8
0.0,12182.0,5.52211111111,13.417499999994002,0.0998611111110999,125.7,4846.948206426,1.6180000000016002,5.4,6.255514430313552,7.3362475396,65.6836454766,5.575,47.4,92.0
0.0,11753.9,5.6960833333370005,13.092805555544,0.0998611111110999,125.7,4713.753967913,1.6680277777794,5.4,5.581952416918607,7.418661350065,62.66613815405,5.8,45.4,91.8
0.0,13399.3,4.835722222226,11.53283333332,0.0998611111110999,1540.6,43788.5084962,1.3050277777786,5.1,6.046235609566286,6.195268065965714,62.442725072957145,5.5,41.8,85.8
0.0,11003.5,5.594250000004,11.239111111106,0.0,1540.6,43090.361686873,0.9285833333335,4.8,15.476543879814,12.130440787933331,60.14892590426666,5.275,50.0,92.2
0.0,12082.2,6.404027777779101,12.921416666668,0.166777777778,0.0,3434.509460161,1.4166388888897,4.7,10.908447482067142,10.161476148575714,49.24328292205714,5.8,57.6,104.0
0.0,9483.9,4.914583333333,10.845805555558,0.383472222222,2085.8,44654.076149225,0.9233611111114002,4.7,14.069965593728,8.158528765222,50.39227807186,5.575,62.8,107.4
0.0,9707.2,4.838666666665,11.646444444439,0.216694444444,2085.8,45510.005288848,1.3714722222214,5.1,11.209928340164286,8.22069705602,58.396907138500005,4.85,64.2,103.0
0.0,11072.6,3.946083333334,16.19897222223,0.0806111111111,91.9,5127.7992884020005,1.9364722222214,4.0,6.554888153544,6.406191045394444,59.7590860942,4.6,68.0,104.8
0.0,10446.8,3.721555555556,16.7598888889,0.0806111111111,91.9,4669.133792967999,1.7531111111104,3.8,6.71195633831825,6.59342152355375,61.3662237875,4.7,69.0,106.6
0.0,7092.8,0.283333333333,12.050138888879,0.0,2370.0,33170.549700121,0.0999722222222,1.8,10.9523423173,10.0027785496,51.3142539594,6.35,47.0,97.8
0.0,5998.2,2.750305555557,5.717111111113001,0.0,3634.7,63733.06980638989,0.6505000000005,3.4444444444444446,9.077200754425,5.358957107345001,71.67968168755,7.75,39.2,101.2
0.0,5103.6,2.9669722222240003,8.967472222226,0.0,2855.8,50265.997378372216,0.7171666666672001,3.2222222222222223,8.28617560354,5.187165685876001,67.15874535004,7.825,39.2,101.8
0.0,6189.888888888889,5.459907407411111,9.007037037033333,0.0,0.0,2705.21413733525,0.8721604938272223,3.75,1.471425539980075,5.770433925757501,77.9272199536,7.5,60.888888888888886,120.88888888888889
0.0,6500.9,4.599111111112,13.932555555552,0.0,54.2,3005.024751912222,1.2099722222231,4.444444444444445,3.75540166055875,6.6588356685425,60.457229520525,5.35,75.0,117.8
0.0,7098.9,3.873666666667,18.00858333333,0.0,0.0,3001.9544084050003,0.8891944444452001,3.6,4.00267672839,6.428080158546667,64.43969714421667,4.4,72.8,108.0
0.0,6805.9,5.286000000003,9.772861111103,0.15,1367.9,31822.647872892,0.5924444444444,5.0,11.5897172618825,4.199862637364999,57.9233319042,5.55,60.2,104.6
0.0,7434.6,4.289444444445,9.357861111104,0.15,1367.9,31941.007128705,0.6832222222222,4.8,2.1469060143275,1.7768367468445,68.9168311108,6.275,53.2,103.4
0.0,7394.1,7.174,11.694555555551,0.150027777778,0.0,2646.925840369,0.935444444444,3.9,8.598550772178001,4.665392798414,64.96808146838,6.8,52.6,107.0
0.0,7457.7,7.665222222222001,10.617999999995998,0.0,0.0,2890.541111372,0.887333333333,4.4,3.1728491474375,3.36324065277175,52.626402871225,6.25,52.4,102.4
0.0,10561.1,0.366861111111,1.729861111114,0.0,3282.5,749654.9561882431,0.1500833333332999,2.6,2.124208439450685,3.2981273408250003,36.46578027465,8.825,36.8,107.4
0.0,8378.4,9.242388888883,9.541194444433,0.0,0.0,2937.775610014,2.1432777777781,5.1,8.233708774625557,8.48846193634111,60.64266042913333,6.55,45.8,98.2
0.0,8018.5,8.790777777777,12.697888888881,0.150027777778,0.0,2464.229586218,1.5433611111116998,4.8,8.506207762734,9.968857551448,66.66808129924,5.45,53.8,97.4
0.0,8895.8,7.444555555556001,12.214472222212,0.150027777778,141.0,4549.041786448,2.2006111111116,5.0,8.333855948676,9.446107724992,72.99595046350001,5.175,55.8,97.2
0.0,9399.0,6.34302777778,11.30891666666,0.0,1952.9,45917.088736086,2.4173055555556,5.0,7.070111337822167,8.256322518765,70.28772054498334,4.775,57.0,95.2
0.0,12048.2,6.550388888900599,10.847805555555,0.0,3745.8,85907.675902025,0.6334722222225,5.4,24.2408878177025,3.74515273366,46.432402963375,5.925,45.0,92.4
0.0,9778.3,7.349888888891,13.11805555556,0.0,32.5,4653.363923583,1.8473333333332,6.3,14.256927708967511,5.385471564707143,72.13571675312858,5.7,57.2,102.8
0.0,9074.1,6.9432499999970005,13.39544444444,0.0,0.0,3710.166780625,1.9918333333336,6.1,12.767404940462784,5.710616485995001,81.68446234595,5.125,52.2,93.2
0.0,9693.1,5.97561111111,11.441583333316,0.0,0.0,4086.753959167,1.4423333333337,6.0,8.098485314695784,7.846904535741667,78.08828514123333,5.6,48.8,93.6
0.0,8557.7,5.901694444447,9.057888888881,0.0,0.0,3407.296022798,2.433555555557,5.5,3.0188437759065554,5.700275174604444,67.33910186527777,5.975,46.4,94.2
0.0,8249.5,6.116249999995,9.875944444442,0.0,1351.8,21816.649275723,0.951083333333,3.7,8.731445908317,5.34630753881,72.17138038483334,5.675,55.2,100.6
0.0,7657.7,1.219138888889,15.87419444446,0.183416666667,2635.4,29620.997927812,0.2065000000003999,3.2,1.32201331080705,1.0581900957395,55.70094734315,8.675,31.2,100.6
0.0,10589.0,5.578277777778,8.468694444447,0.183416666667,903.4,20495.010366010003,1.1648611111116,6.4,11.690645977098583,10.876522824118428,58.96610666242714,7.3,40.0,98.4
0.0,8730.4,7.275944444446,9.394805555557,0.0,86.2,4715.0301141603,1.3917499999999,6.3,21.77228353751085,18.83312046617857,66.10113619714143,5.9,49.0,96.2
0.0,7862.0,6.966999999998,10.91305555556,0.0,0.0,2682.585393899,1.0547222222214,5.1,14.041356571118332,18.673993929631667,56.88780551311667,6.625,45.8,98.8
0.0,9912.2,7.703777777776,9.000333333326001,0.0,1773.9,40680.903948744,2.0657777777771,6.0,18.136843099665555,17.409776220046666,73.3677657797,5.725,52.6,98.4
0.0,11559.7,5.7696388888873,12.319694444439,0.0,1773.9,41151.242416247005,1.8361388888886,5.3,16.43828513291125,13.191580055671247,69.66376518827501,4.8,58.6,97.0
1.0,10012.5,5.9671111111083,12.917055555547,0.0,0.0,3558.9281073620004,1.3646666666664,5.0,13.900817412294286,10.927335599562856,69.54613128999999,5.75,57.0,103.0
0.0,9819.9,4.914861111109301,13.118083333327998,0.268722222222,0.0,3261.390605786,1.8980000000004,4.6,13.269005991117142,10.329732954432856,75.7679763150857,5.95,58.0,105.6
0.0,13126.2,4.774277777778,12.205972222223,0.268722222222,1548.9,44157.061275242,1.2832777777791,5.6,9.165235763051667,7.747064924088334,57.47039100491667,5.925,54.6,102.0
0.0,8917.3,7.002166666664,14.18025000001,0.0,0.0,3371.982366055,1.2244722222223,5.0,8.568571190738334,9.395697544395,72.23080266816667,7.025,56.4,112.6
0.0,10727.9,6.473472222223999,13.01025000001,0.0,23.5,3767.801544524,1.5792777777775,5.2,10.711558190654284,10.70499124348857,70.5519618594,6.3,60.6,111.0
0.0,10290.9,7.046388888899299,13.26297222223,0.0,23.5,3076.3844934138,1.3458333333335,4.0,12.257034522676,12.410213711084,65.05000369848,6.325,61.6,112.2
0.0,9682.1,4.438472222227,13.4038611111233,0.150055555556,899.1,26001.672809112,0.6833333333343,4.4,4.1916829206368,10.887619047614,56.6141269841,6.725,51.4,105.2
0.0,8647.8,5.463638888893,12.9365833333503,0.3167500000008,0.0,2923.128489569,0.6331666666672999,4.6,5.564552344196,12.9086716792,52.95608187132,6.875,50.2,105.2
0.0,7862.8,5.094749999998,14.0671944444322,0.0,17.6,2025.8065659197,1.2453611111121,4.4,13.245610890884,19.24606069677,71.933156605858,6.65,54.4,107.6
0.0,9523.9,5.076499999998,14.3505555555522,0.0,17.6,2522.3131045777,1.6789166666684998,4.8,14.23085951113143,19.86034808449286,77.63463287907,6.275,54.8,105.0
0.0,9383.4,8.292444444453,12.639777777777,0.0833611111110999,4.1,2599.631981099,1.3502500000006,5.0,8.678579386292,12.681831550965,71.79721437728334,5.575,55.6,100.2
0.0,7807.7,7.142055555559,14.099944444440002,0.0,0.0,2589.127297483,1.1170277777768,4.8,5.51528996238,9.289238825115,57.495291056266666,5.35,53.6,96.4
0.0,8061.1,6.2053333333307,9.14122222222,0.0,92.8,3504.0672605,1.6834166666668,5.5,5.7344463933988,8.1647231873,82.09050655156001,6.1,57.0,105.8
0.0,8278.5,5.105083333333701,7.305638888890999,0.0,92.8,3418.411017211,1.316666666666,5.0,8.5328575423625,11.3701755910975,74.95109478245,6.725,55.0,108.8
0.0,9708.0,5.128666666668,7.7754166666713,0.0,27.0,4659.461262955,0.534166666667,5.3,4.851264076072001,8.55667886543,52.6780517433,7.2,50.0,107.6
0.0,8189.6,1.6833611111109998,3.817111111115,0.0,3782.0,73850.95129413399,0.2002222222219999,2.9,1.869056603774,1.997780244174,80.577136515,5.725,45.4,91.2
0.0,7948.6,1.4001666666669998,3.817111111115,0.0,3822.5,74557.664443855,0.2002222222219999,2.7,1.869056603774,1.997780244174,80.577136515,5.625,44.2,89.2
0.0,10641.9,3.583777777777,0.6666944444436,0.0,2750.6,53935.941870706,1.2834166666657,5.2,5.979650695986,9.576778142568,74.64208107198,5.6,46.8,91.6
0.0,11181.5,10.517527777777,6.4672777777736,0.133361111111,1500.4,36576.809100379,2.2334722222214003,6.7,9.621115993878888,12.530781101431112,73.42796003586666,6.7,38.8,92.4
0.0,11579.6,12.485166666657,7.860166666664201,0.133361111111,99.9,5353.665123563,2.3836388888894,6.7,11.28587580271011,13.975366633576666,75.34853964453333,7.05,40.0,96.4
0.0,9524.7,11.644333333332,5.573166666663001,0.0,0.0,3409.0595345386,0.9752500000004,5.3,4.1101765418718,5.663157283739199,66.22844330804,6.875,43.2,98.2
0.0,11009.4,13.189916666658998,7.706722222215999,0.102694444444,18.9,3402.1137401326,1.3910277777772,5.3,7.906825847054714,7.47502013981,59.89955045897143,6.7,44.6,98.2
0.0,10871.2,11.508055555547,7.221305555548,0.102694444444,18.9,3817.752744858,1.8993888888879,6.1,11.907901555067712,10.470006973431428,58.056016155915,6.275,49.8,100.0
0.0,11631.4,9.284916666663,6.1673333333341,0.0347222222222,110.5,4843.152107109,1.0945833333321,6.9,7.752345326994001,7.248029740513999,72.7182537644,5.5,52.4,96.4
0.0,14058.2,10.18497222222,6.6340555555561,0.0347222222222,110.5,5083.137749375,1.2279166666655,7.0,9.778971105828331,11.540024783761666,76.181878137,5.0,56.0,96.0
0.0,11184.5,13.346222222218,7.666222222223,0.0,565.3,12129.735281348,0.7665833333334,5.2,7.494080277796201,7.757377072668001,52.735156285,6.325,51.6,102.2
0.0,9923.3,10.03319444444,5.2492222222217,0.0,1257.2,26327.719241422,0.6331944444444,3.9,10.8572761792875,9.3834624290025,62.462949514075,5.8,52.6,99.0
0.0,0.0,4.585595238095714,13.738690476185711,0.0,0.0,3623.664661549286,1.4093253968244284,4.285714285714286,8.241762307698,13.811699265584284,77.11301963998572,10.857142857142858,24.571428571428573,111.42857142857144
0.0,0.0,3.550138888889,12.182805555562,0.0,0.0,43895.7957250743,1.3700555555545,3.4,8.209532205156668,11.197503559436669,89.95625040041666,9.975,35.0,114.8
0.0,0.0,3.967305555555,12.085194444457,0.0,0.0,42449.2353653023,2.2807222222215,4.4,8.858374399937142,12.442768194358573,102.8037507795,10.4,35.6,118.8
0.0,0.0,4.009555555554,11.223722222235,0.0,0.0,4234.480777561,1.7940555555566,5.2,8.0602883057925,10.48057209332875,104.9477626486125,9.45,41.2,116.8
0.0,0.0,6.171305555554,13.10149999999,0.0,0.0,6702.804338716,1.037,4.8,8.821870640903999,13.67793292106,95.96797097914,7.6,43.0,103.8
0.0,0.0,5.471194444449,13.019499999996,0.183361111111,0.0,6841.537875321999,1.5244166666669998,5.0,7.077331835935572,11.421343118332857,94.25250826058571,7.7,43.8,105.4
0.0,0.0,8.002777777793,10.654111111132,0.183361111111,0.0,3911.841090464,0.7208055555558001,4.2,4.06842067428475,7.6389971962175,89.961097604925,7.425,45.0,104.4
0.0,0.0,0.0,1.16677777778,0.0,0.0,264677.899277995,0.05,3.1,0.0,0.0,59.9666666667,8.8,34.4,104.8
0.0,0.0,3.6502500000007,2.166694444449,0.0,0.0,29666.873999906,0.9667777777774,6.0,6.423467717667999,9.078170100992,71.97984096344,7.925,39.2,102.6
0.0,0.0,7.311583333333,4.9167777777824,0.400055555556,0.0,4665.7855964380005,1.6996111111104,8.5,7.429358235643749,9.9122657010625,82.477026900425,8.475,35.4,103.2
0.0,0.0,6.058972222222,5.540333333336401,0.5334166666669999,0.0,4515.620804157001,1.6686388888884998,7.6,7.683430285912221,9.711924741186667,73.31072776143334,8.85,39.2,110.0
